,NOMBRE,EQUIPO,C L,ENT,DUE,D,DA,PC,PCC,PLC,PH,GPT,GPTFA,GPTDA,GCPI,GCPD,CG,GABP
,PABLO RIVERA,SEVILLA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PABLO TORRE,FC BARCELONA,8,5,31,24,7,148,123,2,1,1.00,0.67,0.33,0.33,0.67,0.00,0.33
,PAPA DAME BA,GIRONA FC,0,1,9,9,0,12,5,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PAPE GUEYE,VILLARREAL CF,0,16,79,64,15,328,234,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PATHÉ CISS,RAYO VALLECANO,0,9,68,48,20,236,187,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PAU CABANES,VILLARREAL CF,0,2,8,8,0,20,16,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PAU CUBARSÍ,FC BARCELONA,0,12,90,43,47,1224,1098,46,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PAU LÓPEZ,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PAU NAVARRO,VILLARREAL CF,0,6,25,18,7,108,92,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PAU VÍCTOR,FC BARCELONA,0,1,29,28,1,71,56,2,0,0.33,0.17,0.17,0.17,0.17,0.00,0.00
,PAULO GAZZANIGA,GIRONA FC,0,1,5,4,1,467,322,51,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NACHO VIDAL,CA OSASUNA,0,2,14,11,3,32,24,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NACI ÜNÜVAR,RCD ESPANYOL DE BARCELONA,0,2,5,5,0,16,11,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NAHUEL MOLINA,ATLÉTICO DE MADRID,9,17,61,51,10,416,320,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,0,28,122,86,36,265,157,16,0,0.14,0.00,0.14,0.00,0.00,0.14,0.00
,NAIM GARCÍA,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NATAN BERNARDO DE SOUZA,REAL BETIS,0,13,69,28,41,522,438,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NAYEF AGUERD,REAL SOCIEDAD,0,15,80,37,43,728,611,43,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NEMANJA GUDELJ,SEVILLA FC,10,22,98,51,47,574,479,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NICO SERRANO,ATHLETIC CLUB,2,1,15,13,2,24,19,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,23,21,170,157,13,296,229,5,0,0.06,0.00,0.06,0.00,0.06,0.00,0.00
,NICOLAS PÉPÉ,VILLARREAL CF,4,4,66,48,18,233,192,3,1,0.06,0.00,0.06,0.00,0.06,0.00,0.00
,NOAH DARVICH,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,NOBEL MENDY,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OIER GASTESI,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OIHAN SANCET,ATHLETIC CLUB,0,8,85,76,9,296,232,16,4,0.44,0.13,0.31,0.06,0.31,0.06,0.00
,OLIVER MCBURNIE,UD LAS PALMAS,0,5,119,52,67,195,136,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OMAR ALDERETE,GETAFE CF,0,20,132,55,77,532,291,77,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OMAR EL HILALI,RCD ESPANYOL DE BARCELONA,0,47,124,97,27,449,322,32,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OMAR MASCARELL,RCD MALLORCA,0,14,60,41,19,281,220,25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OMAR SADIK,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MATEO FLORES,REAL BETIS,0,0,3,3,0,12,9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MATEO MEJÍA,SEVILLA FC,0,0,2,1,1,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MATEU MOREY,RCD MALLORCA,0,3,23,19,4,78,62,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MATIJA NASTASIC,CD LEGANÉS,0,12,49,28,21,344,264,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MATÍAS ÁRBOL,SEVILLA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MAURO ARAMBARRI,GETAFE CF,1,13,127,71,56,281,183,15,1,0.33,0.08,0.25,0.00,0.25,0.08,0.08
,MAXIMILIANO CAUFRIEZ,VALENCIA CF,0,1,10,3,7,14,10,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MIGUEL GUTIÉRREZ,GIRONA FC,12,23,110,100,10,602,514,22,1,0.07,0.00,0.07,0.07,0.00,0.00,0.00
,MIGUEL DE LA FUENTE,CD LEGANÉS,0,7,135,72,63,116,61,3,2,0.10,0.00,0.10,0.00,0.10,0.00,0.00
,MIGUEL ÁNGEL MORRO,,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MIHAILO RISTIC,RC CELTA,0,2,13,11,2,39,29,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MIKA MÁRMOL,UD LAS PALMAS,0,14,39,31,8,369,297,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MIKEL JAUREGIZAR,ATHLETIC CLUB,11,24,110,90,20,389,309,23,1,0.25,0.00,0.25,0.00,0.25,0.00,0.00
,MIKEL OYARZABAL,REAL SOCIEDAD,0,9,79,44,35,184,131,4,2,0.21,0.00,0.21,0.14,0.00,0.07,0.00
,MIKEL VESGA,ATHLETIC CLUB,0,8,38,30,8,204,152,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MOI GÓMEZ,CA OSASUNA,2,9,51,41,10,186,138,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MOUSSA DIARRA,DEPORTIVO ALAVÉS,0,15,69,48,21,262,209,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
